INDICATIVO;AÑO;MES;ALTITUD;C_X;C_Y;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31
7026X;2023;7;50;679088;4178790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0
7028I;2023;7;38;684622;4183230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
7029;2023;7;203;680849;4195504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0
7031;2023;7;4;693425;4184666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
7031O;2023;7;9;694803;4187403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
7031X;2023;7;4;693232;4183489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
7032;2023;7;19;694138;4189639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0
7037B;2023;7;15;699962;4200676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
7038C;2023;7;9;703003;4206087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;-3;0;0;0;0;0;0;0;0;0
7038D;2023;7;3;702313;4208321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;-3;0;0;0;0;0;0;0;0;0
7042;2023;7;10;705535;4211209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2;0;0;0;0;0;0;0;0;0
7071;2023;7;870;563790;4231669;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;-3;0;0;0;0;0
7077;2023;7;630;583237;4255674;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7080;2023;7;899;588854;4236529;0;0;0;0;0;30;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7080X;2023;7;955;588668;4236074;0;0;2;0;0;14;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7083;2023;7;360;606750;4246858;0;0;0;0;0;78;0;0;0;0;37;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0
7092;2023;7;641;590800;4266454;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
