	INDICATIVO	ANO	MES	ALTITUD	C_X	C_Y	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31
156	8022	2023	7	325	711593	4259365	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	31.0	0	0	0	0	0	0	0	0	0	0	0
157	8023	2023	7	115	714974	4252698	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	24.0	0	0	0	0	0	0	0	0	0	0	0
158	8023E	2023	7	91	717395	4251159	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	21.0	0	0	0	0	0	0	0	0	0	0	0
159	8025	2023	7	81	718904	4250120	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	6.0	0	0	0	0	0	0	0	0	0	0	0
160	8028F	2023	7	687	708825	4265061	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	60.0	0	0	0	0	0	0	0	0	0	0	0
161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
162	8029B	2023	7	561	714439	4266351	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	17.0	0	0	0	0	0	0	0	0	0	0	0
163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
164	8032E	2023	7	900	728928	4280112	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
165	8033E	2023	7	100	739010	4268280	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	80.0	0	0	0	0	0	0	0	0	0	0	0
166	8059	2023	7	767	715503	4286186	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	5.0	0	0	0	0	0	0	0	0	0	0	0
167	8059D	2023	7	1028	714101	4282570	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	2.0	0	0	0	0	0	0	0	0	0	0	0
168	8198Y	2023	7	710	668083	4301976	0	0	0	0	0	10	0	0	0	0	0.0	0	0	0	0	0	0	0	16.0	18.0	0	0	0	0	0	0	2	0	0	0	0
169	8282	2023	7	643	706883	4293208	0	0	0	0	0	0	4	0	0	0	0.0	0	0	0	0	0	0	0	0.0	22.0	0	0	0	0	0	0	0	0	0	0	0
170	8289	2023	7	512	683615	4297818	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
