	INDICATIVO	ANO	MES	ALTITUD	C_X	C_Y	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31
41	7104	2023	7	580	628633	4270364	0	0	0	0	0	38	1	0	0	0	0.0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0
42	7113	2023	7	1150	578851	4225636	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0.0	20.0	0	0	0	0	0	0	0	0	0	0	0
43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
44	7116	2023	7	390	614784	4236640	0	0	0	0	0	0	0	2	0	0	41.0	0	0	0	0	0	0	0	0.0	10.0	0	0	0	0	0	0	0	0	0	0	0
45	7118C	2023	7	881	587644	4213520	0	0	0	0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
46	7118D	2023	7	739	598026	4211512	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	2.0		0	0	0	0	0	0	0	0	0	0	0
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
48	7119B	2023	7	643	598441	4217783	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	2.0	4.0	0	0	0	0	0	0	0	0	0	0	0
49	7120C	2023	7	563	605682	4217064	0	0	0	0	0	0	0	2	0	0	1.0	0	0	0	0	0	0	0	13.0	4.0	0	1	0	0	0	2	0	0	0	0	0
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
52	7121A	2023	7	350	613580	4232593	0	0	0	0	0	0	0	2	0	0	54.0	0	0	0	0	0	0	0	12.0	34.0	0	0	0	0	0	0	0	0	0	0	0
53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
54	7124D	2023	7	1060	576406	4200954	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
55	7127	2023	7	604	613162	4213496	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
56	7127X	2023	7	640	614477	4212074	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	2.0	0.0	0	0	0	0	0	2	0	0	0	0	0
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
58	7131E	2023	7	195	632959	4232796	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0.0		0	0	0	0	0	0	0	0	0	0	0
59	7134	2023	7	340	631756	4243744	0	0	0	0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0.0	23.0	0	0	0	0	0	0	0	0	0	0	0
60	7138B	2023	7	485	645247	4258045	0	0	0	0	0	6	0	0	0	0	0.0	0	0	0	0	0	0	0	16.0	0.0	0	0	0	0	0	0	0	0	0	0	0
61	7139E	2023	7	538	655438	4257681	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0
62	7145D	2023	7	265	641737	4232883	0	0	0	0	0	0	0	0	0	0	14.0	0	0	0	0	0	0	0	0.0	15.0	0	0	0	0	0	2	0	0	0	0	0
63	7154	2023	7	140	642013	4226681	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	20.0	0	0	0	0	0	0	0	0	0	0	0
64	7156	2023	7	480	641612	4223128	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	52.0	0	0	0	0	0	0	0	0	0	0	0
65	7156E	2023	7	270	642047	4219190	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	28.0	109.0	0	0	0	0	0	0	0	0	0	0	0
66	7158X	2023	7	150	648489	4221379	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	10.0	50.0	0	0	0	0	0	0	0	0	0	0	0
67	7164	2023	7	100	656790	4213972	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0		0	0	0	0	0	0	0	0	0	0	0
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
69	7168	2023	7	395	632540	4213541	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	300.0	0	0	0	0	0	0	0	0	0	0	0
70	7170	2023	7	381	631107	4205656	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	33.0	300.0	0	0	0	0	0	0	0	0	0	0	0
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
72	7170E	2023	7	500	623188	4198442	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	110.0	0	0	0	0	0	0	0	0	0	0	0
73	7172X	2023	7	255	636087	4211543	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	16.0	174.0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
75	7177	2023	7	220	645916	4204458	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
76	7178I	2023	7	62	660598	4207610	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	2.0	0	0	0	0	0	0	0	0	0	0	0
77	7182	2023	7	57	664258	4206348	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
78	7182D	2023	7	45	663963	4205303	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	7.0	0	0	0	0	0	0	0	0	0	0	0
79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
81	7195X	2023	7	985	582760	4198035	0	8	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	2	0	0	0	0	0
82	7198	2023	7	690	590892	4184364	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
83	7201D	2023	7	850	604235	4200614	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
84	7203A	2023	7	646	599446	4189189	0	0	0	0	0	0	0	0	0	0	12.0	0	0	0	0	0	0	0	0.0	14.0	0	0	0	0	0	0	0	0	0	0	0
85	7205	2023	7	450	603946	4177121	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	114.0	0	0	0	0	0	0	0	0	0	0	0
86	7205I	2023	7	547	611317	4177001	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	32.0	0	0	0	0	0	0	0	0	0	0	0
87	7207	2023	7	580	616635	4183549	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	500.0	0	0	0	0	0	0	0	0	0	0	0
88	7207M	2023	7	445	614647	4177149	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	29.0	0	0	0	0	0	0	0	0	0	0	0
89	7209	2023	7	312	615799	4168318	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	24.0	0	0	0	0	0	0	0	0	0	0	0
90	7211B	2023	7	445	606219	4158572	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	2.0	8.0	0	0	0	0	0	0	0	0	0	0	0
91	7213U	2023	7	245	626607	4173029	0	0	0	0	0	0	0	0	0	0	0.0	1	0	0	0	0	0	0	0.0	40.0	0	0	0	0	0	0	0	0	0	0	0
92	7214	2023	7	799	624929	4188356	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	268.0	0	0	0	0	0	0	0	0	0	0	0
93	7215	2023	7	1200	624526	4190755	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	156.0	0	0	0	0	0	0	0	0	0	0	0
94	7218Y	2023	7	281	631005	4180075	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	32.0	0	0	0	0	0	0	0	0	0	0	0
95	7219	2023	7	760	630390	4190908	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	163.0	0	0	0	0	0	0	0	0	0	0	0
96	7220	2023	7	705	633302	4193729	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	96.0	0	0	0	0	0	0	0	0	0	0	0
97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
99	7225A	2023	7	164	646909	4196807	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	30.0	0	0	0	0	0	0	0	0	0	0	0
100	7227X	2023	7	157	646486	4191774	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	32.0	0	0	0	0	0	0	0	0	0	0	0
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
102	7228D	2023	7	455	657468	4193942	0	2	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	58.0	0	0	0	0	0	0	0	0	0	0	0
103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
104	7233A	2023	7	33	669848	4209793	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
105	7237	2023	7	192	664208	4226915	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	20.0	0	0	0	0	0	0	0	0	0	0	0
106	7237E	2023	7	170	661370	4222828	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	10.0	0	0	0	0	0	0	0	0	0	0	0
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
108	7244X	2023	7	26	677074	4215260	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	2	0	0	0	0	0	0	0	0	0
109	7245A	2023	7	22	680066	4216682	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	5.0	0	0	0	0	0	0	0	0	0	0	0
110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
111	7247E	2023	7	575	671322	4251990	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	36.0	0	0	0	0	0	0	0	0	0	0	0
112	7247X	2023	7	575	671322	4251990	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	36.0	0	0	0	0	0	0	0	0	0	0	0
