INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
7215A;TOTANA 'MORRON DE ESPUÑA';MURCIA;TOTANA;1579;375135;0134312;625325;4191199;ETRS89;;01/08/1992;
7218Y;TOTANA;MURCIA;TOTANA;281;374531;0130462;631005;4180075;ETRS89;;01/04/2019;
7219;ALHAMA (HUERTA ESPU¥A);MURCIA;ALHAMA DE MURCIA;760;375123;0131042;630390;4190908;ETRS89;;01/09/1913;
7220;ALHAMA (LOS QUEMADOS);MURCIA;ALHAMA DE MURCIA;705;375253;0129032;633302;4193729;ETRS89;;01/01/1950;
7227X;ALHAMA (COMARZA);MURCIA;ALHAMA DE MURCIA;157;375142;0120052;646486;4191774;ETRS89;;01/06/2004;
7228;MURCIA/ALCANTARILLA;MURCIA;MURCIA;75;375728;0113432;655618;4202611;ETRS89;08429;01/01/1940;
7232;SANTOMERA;MURCIA;SANTOMERA;36;380332;0102592;671099;4214137;ETRS89;;01/01/1953;
7233A;MURCIA-ORILLA DEL MERANCHO;MURCIA;MURCIA;33;380112;0103542;669848;4209793;ETRS89;;01/01/2010;
7237E;MOLINA DE SEGURA (LOS VALIENTES);MURCIA;MOLINA DE SEGURA;170;380820;0109312;661370;4222828;ETRS89;;01/01/2005;
7244;ORIHUELA 'LOS DESAMPARADOS';ALICANTE;ORIHUELA;26;380404;0058532;677074;4215260;ETRS89;;01/12/1964;
7244X;ORIHUELA DESAMPARADOS;ALICANTE;ORIHUELA;26;380404;0058532;677074;4215260;ETRS89;;01/03/2008;
7245A;ORIHUELA CENTRO DE CIUDAD;ALICANTE;ORIHUELA;22;380448;0056492;680066;4216682;ETRS89;;01/05/1956;
7247;PINOSO C H SEGURA;ALICANTE;EL PINÓS/PINOSO;575;382418;0102202;671237;4252574;ETRS89;;01/06/1934;
7247X;PINOSO;ALICANTE;EL PINÓS/PINOSO;575;382359;0102172;671322;4251990;ETRS89;08357;01/01/2004;
7250C;ABANILLA;MURCIA;ABANILLA;174;381140;0102022;672171;4229217;ETRS89;;01/01/2014;
7253;REDOVAN;ALICANTE;REDOVÁN;22;380648;0054292;683394;4220458;ETRS89;;01/10/1972;
7255A;CREVILLENTE (LOS MOLINOS);ALICANTE;CREVILLENT;280;381532;0050012;689543;4236760;ETRS89;;01/12/1989;
7256;CALLOSA DE SEGURA;ALICANTE;CALLOSA DE SEGURA;18;380721;0052462;685879;4221532;ETRS89;;01/12/1949;
7256B;RAFAL AYUNTAMIENTO;ALICANTE;RAFAL;13;380616;0050572;688580;4219589;ETRS89;;01/12/2019;
7256F;COX;ALICANTE;COX;17;380830;0053162;685100;4223642;ETRS89;;01/07/2020;
7258A;CREVILLENTE CIUDAD;ALICANTE;CREVILLENT;110;381444;0048212;692009;4235338;ETRS89;;01/12/2019;
7259;CATRAL;ALICANTE;CATRAL;8;380935;0048162;692356;4225816;ETRS89;;01/06/1948;
7259A;CREVILLENTE 'EL HONDO';ALICANTE;CREVILLENT;4;381114;0047222;693598;4228899;ETRS89;;01/07/2009;
7261B;ALMORADÍ;ALICANTE;ALMORADÍ;9;380635;0047322;693559;4220292;ETRS89;;01/05/1969;
7261X;ROJALES, EL MOLINO;ALICANTE;ROJALES;31;380517;0042552;700365;4218051;ETRS89;;01/01/1992;
7262;GUARDAMAR DE SEGURA;ALICANTE;GUARDAMAR DEL SEGURA;26;380508;0039162;705708;4217907;ETRS89;;01/12/1915;
7275;YECLA (C.H.S.);MURCIA;YECLA;605;383721;0106132;665085;4276585;ETRS89;;01/01/1935;
7275C;YECLA;MURCIA;YECLA;640;383606;0109352;660249;4274181;ETRS89;08356;01/01/2009;
8003A;BENEIXAMA CASA CRESPO;ALICANTE;BIAR;661;384141;0045492;694493;4285275;ETRS89;;01/03/1976;
8004;BIAR;ALICANTE;BIAR;628;383820;0046242;693798;4279058;ETRS89;;01/08/1914;
8005C;FONTANARS DELS ALFORINS;VALENCIA;FONTANARS DELS ALFORINS;670;384631;0046502;692803;4294180;ETRS89;;01/02/1992;
8005D;FONTANARS CASA DELS CUPS;VALENCIA;FONTANARS DELS ALFORINS;622;384648;0047452;691463;4294672;ETRS89;;01/10/1914;
8005X;FONTANARS CASA DELS CUPS;VALENCIA;FONTANARS DELS ALFORINS;622;384648;0047452;691463;4294672;ETRS89;;01/06/2017;
8006I;VILLENA (LA VEREDA);ALICANTE;VILLENA;533;384141;0055042;681084;4284959;ETRS89;;01/06/1971;
8007E;VILLENA  CIUDAD;ALICANTE;VILLENA;520;383806;0051532;685853;4278437;ETRS89;;01/08/1914;
8008A;VILLENA;ALICANTE;VILLENA;486;383437;0051562;685931;4271992;ETRS89;;01/12/1942;
8008Y;VILLENA;ALICANTE;VILLENA;486;383437;0051562;685931;4271992;ETRS89;;01/03/2005;
8009F;MONOVAR-CEIP ESCRITOR CANYS;ALICANTE;MONÓVAR/MONÒVER;369;382623;0049452;689460;4256838;ETRS89;;01/05/2020;
8010A;PETRER (FINCA FERRUSA);ALICANTE;PETRER;526;382848;0045372;695364;4261452;ETRS89;;01/10/1993;
8011A;ELDA (AYUNTAMIENTO);ALICANTE;ELDA;410;382904;0047272;692687;4261881;ETRS89;;01/02/1985;
8013;NOVELDA;ALICANTE;NOVELDA;245;382257;0045592;695094;4250618;ETRS89;;01/12/1943;
8013B;NOVELDA (INSTITUTO);ALICANTE;NOVELDA;230;382312;0045282;695835;4251099;ETRS89;;01/02/1984;
8013X;NOVELDA;ALICANTE;NOVELDA;230;382312;0045282;695835;4251099;ETRS89;;01/03/2008;
8014O;CHINORLET-CASES DEL SENYOR;ALICANTE;MONÓVAR/MONÒVER;578;382416;0057042;678903;4252679;ETRS89;;01/03/1971;
8015A;HONDON DE LAS NIEVES, AYTO.;ALICANTE;EL FONDÓ DE LES NEUS/HONDÓN DE LAS NIEVES;367;381834;0051242;687396;4242324;ETRS89;;01/09/1993;
8017;ASPE;ALICANTE;ASPE;258;382024;0046212;694674;4245889;ETRS89;;01/08/1944;
8018;ELCHE CAMPO D AGRICOLA;ALICANTE;ELCHE/ELX;63;381454;0041462;701604;4235880;ETRS89;;01/06/1953;
8018A;ELCHE;ALICANTE;ELCHE/ELX;95;381606;0041392;701719;4238104;ETRS89;;01/04/1944;
8018B;ELCHE C H SEGURA;ALICANTE;ELCHE/ELX;85;381547;0042392;700275;4237482;ETRS89;;01/04/1944;
8018C;ELCHE MAITINO;ALICANTE;ELCHE/ELX;54;381542;0036502;708762;4237542;ETRS89;;01/01/2020;
8018X;ELCHE, ALTABIX;ALICANTE;ELCHE/ELX;110;381715;0040502;702856;4240261;ETRS89;;01/03/2008;
8019;ALICANTE-ELCHE/AEROPUERTO;ALICANTE;ELCHE/ELX;43;381658;0034152;712468;4239983;ETRS89;08360;01/01/1967;
8019A;SANTA POLA 'MUSEO DE LA SAL';ALICANTE;SANTA POLA;0;381151;0034142;712741;4230520;ETRS89;;01/07/2009;
8022;ALICANTE-EL MORALET;ALICANTE;ALGUEÑA;325;382727;0034302;711593;4259365;ETRS89;;01/03/2021;
8023E;UNIVERSIDAD DE ALICANTE;ALICANTE;SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG;91;382256;0030402;717395;4251159;ETRS89;;01/01/2006;
8025;ALICANTE;ALICANTE;ALICANTE/ALACANT;81;382221;0029392;718904;4250120;ETRS89;08359;01/09/1938;
8028F;TIBI MAIGMÓ;ALICANTE;TIBI;687;383034;0036182;708825;4265061;ETRS89;;01/01/2020;
8029B;XIXONA-MIGJORN;ALICANTE;JIJONA/XIXONA;561;383111;0032252;714439;4266351;ETRS89;;01/07/2020;
8033E;EMBALSE DE AMADORIO;ALICANTE;VILLAJOYOSA/LA VILA JOIOSA;100;383151;0015292;739010;4268280;ETRS89;;01/03/1971;
8059;ALCOI-BARADELLO;ALICANTE;ALCOY/ALCOI;767;384153;0031192;715503;4286186;ETRS89;;01/10/1949;
8059C;ALCOY;ALICANTE;ALCOY/ALCOI;534;384240;0027392;720778;4287781;ETRS89;;01/06/2009;
8059D;ALCOI-FONT ROJA;ALICANTE;ALCOY/ALCOI;1028;383957;0032212;714101;4282570;ETRS89;;01/09/2021;
8198Y;ALMANSA;ALBACETE;ALMANSA;710;385102;0103472;668083;4301976;ETRS89;;01/06/2010;
8282;BOCAIRENT;VALENCIA;BOCAIRENT;643;384548;0037082;706883;4293208;ETRS89;;01/01/1916;
8289;LA FONT DE LA FIGUERA LA VIÑA;VALENCIA;LA FONT DE LA FIGUERA;512;384836;0053072;683615;4297818;ETRS89;;01/12/1952;
