INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
8175;ALBACETE/LOS LLANOS;ALBACETE;ALBACETE;702;385715;0151232;599093;4312313;ETRS89;08280;01/12/1939;
8177A;CHINCHILLA/CENAD;ALBACETE;CHINCHILLA DE MONTE-ARAGÓN;880;385609;0139362;616136;4310502;ETRS89;08278;01/01/2006;
8178D;ALBACETE,OBS.;ALBACETE;ALBACETE;674;390021;0151462;598467;4318039;ETRS89;08279;01/01/1983;
8191Y;LAS ERAS;ALBACETE;ALCALÁ DEL JÚCAR;680;391155;0126082;635092;4339983;ETRS89;;01/10/2009;
8193E;JALANCE;VALENCIA;JALANCE;372;391230;0105402;664527;4341627;ETRS89;;01/06/2009;
8198Y;ALMANSA;ALBACETE;ALMANSA;710;385102;0103472;668083;4301976;ETRS89;;01/06/2010;
8203O;EVC_ZARRA;VALENCIA;ZARRA;855;390458;0106032;664267;4327680;ETRS89;08283;01/09/2014;
8270X;BICORP;VALENCIA;BICORP;305;390801;0047242;691017;4333930;ETRS89;;01/02/2008;
8283X;ONTINYENT;VALENCIA;ONTINYENT;350;384946;0036282;707656;4300570;ETRS89;;01/05/2008;
8293X;XÀTIVA;VALENCIA;XÀTIVA;88;390006;0031252;714444;4319880;ETRS89;08290;01/04/1990;
8300X;CARCAIXENT;VALENCIA;CARCAIXENT;25;390648;0026452;720832;4332461;ETRS89;;01/05/2008;
8325X;POLINYÀ;VALENCIA;POLINYÀ DE XÚQUER;12;391105;0022192;726991;4340568;ETRS89;08287;01/02/1991;
