;Variable;Media;DevStd;Min;Max;Media Acumulada
0;P1;0.0;0.0;0.0;0.0;0.0
1;P2;0.13045685270086793;0.6830701612514022;0.0;8.104891823325808;0.13045685270086793
2;P3;0.0018389355290763028;0.011250416364352199;0.0;0.1705319281867432;0.13229578822994423
3;P4;0.0;0.0;0.0;0.0;0.13229578822994423
4;P5;0.0;0.0;0.0;0.0;0.13229578822994423
5;P6;0.20830570871166884;0.7105404794927754;0.0;7.727583530235238;0.34060149694161307
6;P7;0.0;0.0;0.0;0.0;0.34060149694161307
7;P8;0.005220322547298641;0.02141255039688153;0.0;0.19945017294773928;0.3458218194889117
8;P9;0.0;0.0;0.0;0.0;0.3458218194889117
9;P10;0.0;0.0;0.0;0.0;0.3458218194889117
10;P11;0.581826078361063;1.4065591520589455;0.0;9.766492813295727;0.9276478978499747
11;P12;0.0029519026796120352;0.01117044789845014;0.0;0.16194595648067084;0.9305998005295867
12;P13;0.0;0.0;0.0;0.0;0.9305998005295867
13;P14;0.0;0.0;0.0;0.0;0.9305998005295867
14;P15;0.0;0.0;0.0;0.0;0.9305998005295867
15;P16;0.0;0.0;0.0;0.0;0.9305998005295867
16;P17;0.0;0.0;0.0;0.0;0.9305998005295867
17;P18;0.0;0.0;0.0;0.0;0.9305998005295867
18;P19;0.14092680539416297;0.31016048785373085;0.0;2.8793092266126394;1.0715266059237496
19;P20;3.407210092951859;5.7589670936599315;0.0;46.541191218388796;4.4787366988756085
20;P21;0.0;0.0;0.0;0.0;4.4787366988756085
21;P22;0.0035344269143756843;0.01886412966105646;0.0;0.29623621565987013;4.4822711257899845
22;P23;0.0;0.0;0.0;0.0;4.4822711257899845
23;P24;0.0;0.0;0.0;0.0;4.4822711257899845
24;P25;0.0;0.0;0.0;0.0;4.4822711257899845
25;P26;0.011261559091361947;0.027273926209884104;0.0;0.19269181681313707;4.493532684881346
26;P27;0.0;0.0;0.0;0.0;4.493532684881346
27;P28;0.0;0.0;0.0;0.0;4.493532684881346
28;P29;0.0;0.0;0.0;0.0;4.493532684881346
29;P30;0.0;0.0;0.0;0.0;4.493532684881346
30;P31;0.0;0.0;0.0;0.0;4.493532684881346
